name,role,sentence,true_role
Jet,Author,"Jet's IPO is the first in a series of expected share offers from Indian companies this year, as they move to raise funds to help them do business in a rapidly-growing economy.",unknown
Tirunesh Dibaba,Author,"Dibaba breaks 5,000m world record

Ethiopia's Tirunesh Dibaba set a new world record in winning the women's 5,000m at the Boston Indoor Games.

",unknown
Berhane Adera,Author,"Dibaba won in 14 minutes 32.93 seconds to erase the previous world indoor mark of 14:39.29 set by another Ethiopian, Berhane Adera, in Stuttgart last year.",unknown
Kenenisa Bekele's,Author,"But compatriot Kenenisa Bekele's record hopes were dashed when he miscounted his laps in the men's 3,000m and staged his sprint finish a lap too soon.",unknown
Cragg,Author,"""I didn't want to sit back and get out-kicked,"" said Cragg.",unknown
Jolanda Ceplak,Author,"Sweden's Carolina Kluft, the Olympic heptathlon champion, and Slovenia's Jolanda Ceplak had winning performances, too.",unknown
Kluft,Author,"Kluft took the long jump at 6.63m, while Ceplak easily won the women's 800m in 2:01.52.",unknown
Ceplak,Author,"Kluft took the long jump at 6.63m, while Ceplak easily won the women's 800m in 2:01.52.",unknown
Sebastian,Musician,"All 10,000 tickets for Saturday's concert, featuring Franz Ferdinand, Belle and Sebastian and Travis, at Glasgow's SECC sold out in 36 hours.",unknown
Travis,Musician,"All 10,000 tickets for Saturday's concert, featuring Franz Ferdinand, Belle and Sebastian and Travis, at Glasgow's SECC sold out in 36 hours.",unknown
Glasgow,Musician,"All 10,000 tickets for Saturday's concert, featuring Franz Ferdinand, Belle and Sebastian and Travis, at Glasgow's SECC sold out in 36 hours.",unknown
Teenage Fanclub,Musician,"Mull Historical Society, Deacon Blue, Idlewild, Texas, Mogwai and Teenage Fanclub are among the other acts performing at the concert.",unknown
Eric Clapton,Musician,"It follows a Cardiff gig starring Eric Clapton, Keane and Jools Holland, which raised more than Â£1.25m. And it is taking place on the same night as a tsunami benefit show in Bristol, which will see Massive Attack and Portishead share a stage for the first time.",unknown
Keane,Musician,"It follows a Cardiff gig starring Eric Clapton, Keane and Jools Holland, which raised more than Â£1.25m. And it is taking place on the same night as a tsunami benefit show in Bristol, which will see Massive Attack and Portishead share a stage for the first time.",unknown
Jools Holland,Musician,"It follows a Cardiff gig starring Eric Clapton, Keane and Jools Holland, which raised more than Â£1.25m. And it is taking place on the same night as a tsunami benefit show in Bristol, which will see Massive Attack and Portishead share a stage for the first time.",unknown
Massive Attack,Musician,"It follows a Cardiff gig starring Eric Clapton, Keane and Jools Holland, which raised more than Â£1.25m. And it is taking place on the same night as a tsunami benefit show in Bristol, which will see Massive Attack and Portishead share a stage for the first time.",unknown
Portishead,Musician,"It follows a Cardiff gig starring Eric Clapton, Keane and Jools Holland, which raised more than Â£1.25m. And it is taking place on the same night as a tsunami benefit show in Bristol, which will see Massive Attack and Portishead share a stage for the first time.",unknown
Colin MacIntyre,Musician,"Colin MacIntyre, of Mull Historical Society, was playing another gig on the same day but said he was determined to make the Glasgow benefit.",unknown
Glasgow,Musician,"Colin MacIntyre, of Mull Historical Society, was playing another gig on the same day but said he was determined to make the Glasgow benefit.",unknown
Lleyton Hewitt,Author,"Hewitt fights back to reach final

Lleyton Hewitt kept his dream of an Australian Open title alive with a four-set win over Andy Roddick in Friday's second semi-final.

",unknown
Andy Roddick,Author,"Hewitt fights back to reach final

Lleyton Hewitt kept his dream of an Australian Open title alive with a four-set win over Andy Roddick in Friday's second semi-final.

",unknown
Melbourne,Author,"Hewitt fought back from a set down and trailed in both tie-breaks but would not be denied, thrilling the Melbourne crowd with a typically battling effort.",unknown
Mark Edmondson,Author,He is aiming to be the first Australian winner since Mark Edmondson in 1976.,unknown
Pat Cash,Author,"Hewitt is the first Australian to make the final since Pat Cash lost to Mats Wilander in 1988, but faces a huge challenge against Safin - the conqueror of Roger Federer.",unknown
Mats Wilander,Author,"Hewitt is the first Australian to make the final since Pat Cash lost to Mats Wilander in 1988, but faces a huge challenge against Safin - the conqueror of Roger Federer.",unknown
Roger Federer,Author,"Hewitt is the first Australian to make the final since Pat Cash lost to Mats Wilander in 1988, but faces a huge challenge against Safin - the conqueror of Roger Federer.",unknown
Roddick,Author,"He certainly made a sluggish start, dropping his opening service game, and Roddick dominated with his huge serve as he took the first set.

",unknown
Roddick,Author,That energised the crowd but Roddick was not finished and raced 4-1 clear in the crucial third before Hewitt pegged him back and forced another tie-break.,unknown
Roddick,Author,"Again Roddick broke first and again Hewitt fought back, taking the lead with a superb backhand pass.

",unknown
Roddick,Author,"The Australian was not to be denied and a disheartened Roddick made little impact in the fourth set as Hewitt raced to victory, sending the Melbourne crowd wild and ensuring the final will be a huge occasion.",unknown
Melbourne,Author,"The Australian was not to be denied and a disheartened Roddick made little impact in the fourth set as Hewitt raced to victory, sending the Melbourne crowd wild and ensuring the final will be a huge occasion.",unknown
Hewitt,Author,"""It's awesome,"" said Hewitt.",unknown
Roddick,Author,Roddick was furious with himself for failing to take advantage of leads in both tie-breaks.,unknown
Roddick,Author,"""I'm usually pretty money in those,"" said Roddick.",unknown
Rodick,Author,And the American played down the influence of one spectator who appeared to contribute to a double fault by shouting during Rodick's service action.,unknown
Roddick,Author,"""It just took one jackass to shout out,"" said Roddick, adding that the crowd overall was ""very respectful"".",unknown
Westminster,Author,"Crucial decision on super-casinos

A decision on whether to allow Westminster to legislate on super-casinos is set to be made by the Scottish Parliament.

",unknown
Westminster,Business Executive,The Scottish Executive believes that the legislation should be handled by Westminster.,unknown
Glasgow,Author,A super-casino in Glasgow could be located at Ibrox or the Scottish Exhibition and Conference Centre.,unknown
Andy Farrell,Author,"Tigers wary of Farrell 'gamble'

Leicester say they will not be rushed into making a bid for Andy Farrell should the Great Britain rugby league captain decide to switch codes.

",unknown
John Wells,Author,"""We and anybody else involved in the process are still some way away from going to the next stage,"" Tigers boss John Wells told BBC Radio Leicester.",unknown
Andy Farrell,Author,"""At the moment, there are still a lot of unknowns about Andy Farrell, not least his medical situation.",unknown
Farrell,Author,"Farrell, who has had persistent knee problems, had an operation on his knee five weeks ago and is expected to be out for another three months.",unknown
Farrell,Author,"Leicester and Saracens are believed to head the list of rugby union clubs interested in signing Farrell if he decides to move to the 15-man game.

",unknown
Harry Redknapp,Author,"Redknapp poised for Saints

Southampton are set to unveil Harry Redknapp as their new manager at a news conference at 1500 GMT on Wednesday.

",unknown
Steve Wigley,Author,"The former Portsmouth boss replaces Steve Wigley, who has been relieved of first-team duties after just one win in 14 league games in charge.",unknown
Kevin Bond,Author,"Pompey coach Kevin Bond is poised to join Redknapp, who will be Saints' third boss of the season.",unknown
Milan Mandaric,Politician,"Portsmouth chairman Milan Mandaric said he was ""disappointed"" by the news and claimed Redknapp had been in talks with Southampton for ""some time"".

",unknown
Harry,Author,"""I said to Harry 'I hope you don't go to Southampton', and he told me 'absolutely not',"" he said.",unknown
Harry,Author,"""I'm wouldn't say I'm bitter, disgusted or angry, just disappointed, but it's Harry's life and it's his decision.""",unknown
Premiership,Author,"Redknapp became a cult hero after leading Portsmouth into the Premiership for the first time, and then masterminding their survival in their debut season.",unknown
Mandaric,Author,"But he left the club claiming he needed a break from football, though many believed he was upset with Mandaric's decision to bring in Velimir Zajec as executive director.

",unknown
Velimir Zajec,Author,"But he left the club claiming he needed a break from football, though many believed he was upset with Mandaric's decision to bring in Velimir Zajec as executive director.

",unknown
Rupert Lowe,Author,"Southampton chairman Rupert Lowe was desperate to give former academy director Wigley, who replaced Paul Sturrock just two games into the season, every chance to succeed at St Mary's.",unknown
Wigley,Author,"Southampton chairman Rupert Lowe was desperate to give former academy director Wigley, who replaced Paul Sturrock just two games into the season, every chance to succeed at St Mary's.",unknown
Paul Sturrock,Author,"Southampton chairman Rupert Lowe was desperate to give former academy director Wigley, who replaced Paul Sturrock just two games into the season, every chance to succeed at St Mary's.",unknown
St Mary's,Author,"Southampton chairman Rupert Lowe was desperate to give former academy director Wigley, who replaced Paul Sturrock just two games into the season, every chance to succeed at St Mary's.",unknown
Wigley,Author,But results under Wigley have been poor and Southampton are deep in trouble near the foot of the table.,unknown
Blair,Politician,"Blair and Blunkett Sheffield trip

Tony Blair is to join Home Secretary David Blunkett in a visit to Sheffield on Thursday.

",unknown
Blunkett Sheffield,Politician,"Blair and Blunkett Sheffield trip

Tony Blair is to join Home Secretary David Blunkett in a visit to Sheffield on Thursday.

",unknown
Tony Blair,Politician,"Blair and Blunkett Sheffield trip

Tony Blair is to join Home Secretary David Blunkett in a visit to Sheffield on Thursday.

",unknown
David Blunkett,Politician,"Blair and Blunkett Sheffield trip

Tony Blair is to join Home Secretary David Blunkett in a visit to Sheffield on Thursday.

",unknown
Blunkett,Politician,Mr Blunkett's conduct is being looked at to establish whether he abused his position in relation to his ex-lover.,unknown
Kimberly Quinn,Politician,The Parliamentary standards watchdog is looking at his decision to give Kimberly Quinn free rail tickets.,unknown
Mrs Quinn's,Author,He is also being investigated over the visa application of Mrs Quinn's ex-nanny.,unknown
Mr Blair,Author,"The visit to Sheffield will be seen as a show of unity by Mr Blair.

",unknown
Michael Howard,Politician,"On Wednesday during Prime Minister's Questions, Tory leader Michael Howard went on the offensive over comments Mr Blunkett is alleged to have made in a new biography.",unknown
Blunkett,Politician,"On Wednesday during Prime Minister's Questions, Tory leader Michael Howard went on the offensive over comments Mr Blunkett is alleged to have made in a new biography.",unknown
Howard,Politician,"Mr Howard said Mr Blunkett had complained he had inherited a ""giant mess"" when he took over at the Home Office from Jack Straw, now foreign secretary.",unknown
Blunkett,Politician,"Mr Howard said Mr Blunkett had complained he had inherited a ""giant mess"" when he took over at the Home Office from Jack Straw, now foreign secretary.",unknown
Blair,Author,"Mr Blair retorted voters remembered the record of a government and no comments by politicians.

",Politician
Mrs Quinn,Politician,"The home secretary has already admitted he was wrong to give the two first class tickets, given to him as an MP, to Mrs Quinn and has since paid the Â£180 back.",unknown
Westminster,Politician,The rail tickets are meant to help MPs' spouses get between Westminster and their constituencies.,unknown
Philip Mawer,Author,"After his inquiry, Parliamentary watchdog Sir Philip Mawer will report to the Commons Standards and Privileges Committee, the group of MPs who will recommend to the full House of Commons what action - if any - should be taken against Mr Blunkett.

",unknown
Blunkett,Author,"After his inquiry, Parliamentary watchdog Sir Philip Mawer will report to the Commons Standards and Privileges Committee, the group of MPs who will recommend to the full House of Commons what action - if any - should be taken against Mr Blunkett.

",unknown
Alan Budd,Author,"The separate inquiry by ex-senior civil servant Sir Alan Budd is investigating whether the home secretary helped fast-track a bid by Mrs Quinn's nanny, Leoncia Casalme, to stay in the UK.",unknown
Mrs Quinn's,Author,"The separate inquiry by ex-senior civil servant Sir Alan Budd is investigating whether the home secretary helped fast-track a bid by Mrs Quinn's nanny, Leoncia Casalme, to stay in the UK.",unknown
Leoncia Casalme,Author,"The separate inquiry by ex-senior civil servant Sir Alan Budd is investigating whether the home secretary helped fast-track a bid by Mrs Quinn's nanny, Leoncia Casalme, to stay in the UK.",unknown
Blunkett,Politician,"Last week, Mr Blunkett won the first round of a High Court battle with Mrs Quinn for access to her son.",unknown
Mrs Quinn,Politician,"Last week, Mr Blunkett won the first round of a High Court battle with Mrs Quinn for access to her son.",unknown
Blunkett,Author,"Mr Blunkett declined to comment about his own position, saying the inquiry was under way and the High Court had stressed his right to privacy did not affect his job in improving security and stability.",unknown
Mr Blair's,Author,Downing Street has stressed Mr Blair's support for the home secretary.,unknown
Ms Fiorina's,Author,"Ms Fiorina's talk also touted the way technology is being designed to focus on lifestyle, fashion and personalisation, something she sees as key to what people want.

",unknown
Gwen Stefani,TV Personality,"Special guest, singer Gwen Stefani, joined her on-stage to promote her own range of HP digital cameras which Ms Stefani has helped design and which are heavily influenced by Japanese youth culture.",unknown
Ms Stefani,TV Personality,"Special guest, singer Gwen Stefani, joined her on-stage to promote her own range of HP digital cameras which Ms Stefani has helped design and which are heavily influenced by Japanese youth culture.",unknown
Ms Fiorina,Business Executive,"Ms Fiorina also announced that HP was working with Nokia to launch a visual radio service for mobiles, which would launch in Europe early this year.",unknown
Ms Fiorina,Author,"Ms Fiorina was one of several keynote speakers, who also included Microsoft chief Bill Gates, to set out what major technology companies think people will be doing with technologies and gadgets in the next 12 months.",unknown
Bill Gates,Author,"Ms Fiorina was one of several keynote speakers, who also included Microsoft chief Bill Gates, to set out what major technology companies think people will be doing with technologies and gadgets in the next 12 months.",unknown
Ms Fiorina,Musician,"In a separate announcement during the keynote speech, Ms Fiorina said that HP would be partnering MTV to replace this year's MTV Asia music award.",unknown
Asia Aid,TV Personality,"MTV's Asia Aid will be held in Bangkok on 3 February, and is aimed at helping to raise money for the Asian tsunami disaster.",unknown
Martin Scorsese,Film Actor,"Director Martin Scorsese's The Aviator, starring Leonardo DiCaprio went on general release on Christmas Day in the US, ensuring it just made the deadline.",unknown
Leonardo DiCaprio,Film Actor,"Director Martin Scorsese's The Aviator, starring Leonardo DiCaprio went on general release on Christmas Day in the US, ensuring it just made the deadline.",unknown
Jude Law,Author,"Other movies tipped for possible success include Closer, starring Jude Law and Julia Roberts, Finding Neverland, with Johnny Depp as author JM Barry and Kinsey starring Liam Neeson as the famed sex scientist Alfred Kinsey.",Author
Julia Roberts,Author,"Other movies tipped for possible success include Closer, starring Jude Law and Julia Roberts, Finding Neverland, with Johnny Depp as author JM Barry and Kinsey starring Liam Neeson as the famed sex scientist Alfred Kinsey.",Author
Finding Neverland,Author,"Other movies tipped for possible success include Closer, starring Jude Law and Julia Roberts, Finding Neverland, with Johnny Depp as author JM Barry and Kinsey starring Liam Neeson as the famed sex scientist Alfred Kinsey.",Author
Johnny,Author,"Other movies tipped for possible success include Closer, starring Jude Law and Julia Roberts, Finding Neverland, with Johnny Depp as author JM Barry and Kinsey starring Liam Neeson as the famed sex scientist Alfred Kinsey.",Author
Barry,Author,"Other movies tipped for possible success include Closer, starring Jude Law and Julia Roberts, Finding Neverland, with Johnny Depp as author JM Barry and Kinsey starring Liam Neeson as the famed sex scientist Alfred Kinsey.",Author
Kinsey,Author,"Other movies tipped for possible success include Closer, starring Jude Law and Julia Roberts, Finding Neverland, with Johnny Depp as author JM Barry and Kinsey starring Liam Neeson as the famed sex scientist Alfred Kinsey.",Author
Liam Neeson,Author,"Other movies tipped for possible success include Closer, starring Jude Law and Julia Roberts, Finding Neverland, with Johnny Depp as author JM Barry and Kinsey starring Liam Neeson as the famed sex scientist Alfred Kinsey.",Author
Alfred Kinsey,Author,"Other movies tipped for possible success include Closer, starring Jude Law and Julia Roberts, Finding Neverland, with Johnny Depp as author JM Barry and Kinsey starring Liam Neeson as the famed sex scientist Alfred Kinsey.",Author
Takuo Miyagishima,Author,"Meanwhile, design engineer Takuo Miyagishima will be awarded an Oscar at the Scientific and Technical Awards Dinner on 12 February 2005.",unknown
Oscar,Film Actor,The main Oscar ceremony will be held in Los Angeles on 27 February.,unknown
John Snow,Author,"'Strong dollar' call halts slide

The US dollar's slide against the euro and yen has halted after US Treasury Secretary John Snow said a strong dollar was ""in America's interest"".

",unknown
George W Bush's,Author,"They also pointed out that positive comments apart, President George W Bush's administration had done little to stop the dollar's slide.",unknown
Policy,Author,"Policy makers in Europe have called the dollar's slide ""brutal"" and have blamed the strength of the euro for dampening economic growth.",unknown
Snow,Author,"Mr Snow's comments may have helped shore up the dollar on Monday, but he was careful to qualify his statement.

",unknown
Bush,Author,"Domestic consumer demand is cooling, and heavy spending by President Bush has pushed the budget deficit to a record $427bn (Â£230bn).",unknown
Carsten Fritsch,Author,"""No end is in sight,"" said Carsten Fritsch, a strategist at Commerzbank .",unknown
Peter Mandelson,Author,"EU-US seeking deal on air dispute

The EU and US have agreed to begin talks on ending subsidies given to aircraft makers, EU Trade Commissioner Peter Mandelson has announced.

",unknown
Mandelson,Author,"Both sides hope to reach a negotiated deal over state aid received by European aircraft maker Airbus and its US rival Boeing, Mr Mandelson said.",unknown
Mandelson,Politician,"Mr Mandelson said the EU and US hoped to avoid having to resolve the dispute at the World Trade Organisation (WTO).

",unknown
Mandelson,Author,"""With this agreement the EU and US have confirmed their willingness to resolve the dispute which has arisen between them,"" Mr Mandelson said.",unknown
Mandelson,Politician,"EADS and BAE Systems, the European defence and aerospace firms which own Airbus, welcomed Mr Mandelson's announcement.",unknown
James Wareham,Author,"James Wareham, a lawyer representing one of the directors, told Reuters the 10 had agreed to pay those who lost billions when the firm collapsed.",unknown
Alan Hevesi,Author,"But, a spokesman for the prosecutor, New York State Comptroller Alan Hevesi, said no formal agreement had been made.

",unknown
Charles Elson,Author,"""Directors very rarely pay,"" said Charles Elson, chairman of the Center for Corporate Governance at the University of Delaware.",unknown
James Allen,Author,"The ten former outside directors are James Allen, Judith Areen, Carl Aycock, Max Bobbitt, Clifford Alexander, Stiles Kellett, Gordon Macklin, John Porter, Lawrence Tucker and the estate of John Sidgmore, who died last year.",unknown
Judith Areen,Author,"The ten former outside directors are James Allen, Judith Areen, Carl Aycock, Max Bobbitt, Clifford Alexander, Stiles Kellett, Gordon Macklin, John Porter, Lawrence Tucker and the estate of John Sidgmore, who died last year.",unknown
Carl Aycock,Author,"The ten former outside directors are James Allen, Judith Areen, Carl Aycock, Max Bobbitt, Clifford Alexander, Stiles Kellett, Gordon Macklin, John Porter, Lawrence Tucker and the estate of John Sidgmore, who died last year.",unknown
Max Bobbitt,Author,"The ten former outside directors are James Allen, Judith Areen, Carl Aycock, Max Bobbitt, Clifford Alexander, Stiles Kellett, Gordon Macklin, John Porter, Lawrence Tucker and the estate of John Sidgmore, who died last year.",unknown
Clifford Alexander,Author,"The ten former outside directors are James Allen, Judith Areen, Carl Aycock, Max Bobbitt, Clifford Alexander, Stiles Kellett, Gordon Macklin, John Porter, Lawrence Tucker and the estate of John Sidgmore, who died last year.",unknown
Stiles Kellett,Author,"The ten former outside directors are James Allen, Judith Areen, Carl Aycock, Max Bobbitt, Clifford Alexander, Stiles Kellett, Gordon Macklin, John Porter, Lawrence Tucker and the estate of John Sidgmore, who died last year.",unknown
Gordon Macklin,Author,"The ten former outside directors are James Allen, Judith Areen, Carl Aycock, Max Bobbitt, Clifford Alexander, Stiles Kellett, Gordon Macklin, John Porter, Lawrence Tucker and the estate of John Sidgmore, who died last year.",unknown
John Porter,Author,"The ten former outside directors are James Allen, Judith Areen, Carl Aycock, Max Bobbitt, Clifford Alexander, Stiles Kellett, Gordon Macklin, John Porter, Lawrence Tucker and the estate of John Sidgmore, who died last year.",unknown
Lawrence Tucker,Author,"The ten former outside directors are James Allen, Judith Areen, Carl Aycock, Max Bobbitt, Clifford Alexander, Stiles Kellett, Gordon Macklin, John Porter, Lawrence Tucker and the estate of John Sidgmore, who died last year.",unknown
John Sidgmore,Author,"The ten former outside directors are James Allen, Judith Areen, Carl Aycock, Max Bobbitt, Clifford Alexander, Stiles Kellett, Gordon Macklin, John Porter, Lawrence Tucker and the estate of John Sidgmore, who died last year.",unknown
Bert Roberts,Author,"Two other outside former directors, Bert Roberts and Francesco Galesi, remain defendants in the lawsuit, said the newspaper.",unknown
Francesco Galesi,Author,"Two other outside former directors, Bert Roberts and Francesco Galesi, remain defendants in the lawsuit, said the newspaper.",unknown
Bernard Ebbers,Author,Former WorldCom chief executive Bernard Ebbers is to face trial this month on criminal charges that he oversaw the fraud.,unknown
Lleyton Hewitt,Author,"Hewitt falls to Dent

Lleyton Hewitt suffered a shock defeat to Taylor Dent in the quarter-finals of the Australian Hardcourt Championships in Adelaide on Friday.

",unknown
Taylor Dent,Author,"Hewitt falls to Dent

Lleyton Hewitt suffered a shock defeat to Taylor Dent in the quarter-finals of the Australian Hardcourt Championships in Adelaide on Friday.

",unknown
Juan Ignacio Chela,Author,Dent will face Juan Ignacio Chela next after the fourth seed was too strong for Jurgen Melzer.,unknown
Jurgen Melzer,Author,Dent will face Juan Ignacio Chela next after the fourth seed was too strong for Jurgen Melzer.,unknown
Olivier Rochus,Author,Olivier Rochus beat third seed Nicolas Kiefer 6-7 (4-7) 7-6 (8-6) 7-5 and will take on second seed Joachim Johansson.,unknown
Nicolas Kiefer,Author,Olivier Rochus beat third seed Nicolas Kiefer 6-7 (4-7) 7-6 (8-6) 7-5 and will take on second seed Joachim Johansson.,unknown
Joachim Johansson,Author,Olivier Rochus beat third seed Nicolas Kiefer 6-7 (4-7) 7-6 (8-6) 7-5 and will take on second seed Joachim Johansson.,unknown
Thomas Enqvist,Author,The Swede reached the last four by beating compatriot Thomas Enqvist 6-3 4-6 6-1.,unknown
Johansson,Film Actor,"""I felt like I was striking the ball much better,"" said Johansson.",unknown
Diamond Multimedia,Author,"The Tivo personal video recorder is the newest device to make the top 10, which also includes the first flash mp3 player (Diamond Multimedia), as well as the first ""successful"" digital camera (Casio QV-10) and mobile phone (Motorola Startac).",unknown
Madonna,Musician,"""Who can forget the crystalline, hiss-free blast of Madonna's Like A Virgin emanating from their first CD player?"" asked the magazine.",unknown
Karl Elsener's,Author,"Karl Elsener's knife, the Swiss Army Knife from 1891, is at number 20 in the list.",unknown
Tamagotchi,Author,"The list also contains plenty of oddities: the Pez sweet dispenser (98th), 1990s toy Tamagotchi (86th) and the bizarre Ronco inside the shell egg scrambler (84th).

",unknown
Ronco,Author,"The list also contains plenty of oddities: the Pez sweet dispenser (98th), 1990s toy Tamagotchi (86th) and the bizarre Ronco inside the shell egg scrambler (84th).

",unknown
Powerbook,Author,"Almost everyone has a mobile phone, how many people own a Powerbook?",unknown
Minidisc,Musician,"For example the Sony walkman was the first truly portable way of listening to your own music on the move whereas Minidisc, Flash MP3, portable CD players etc. are really just improvements in technology.

",unknown
Flash,Musician,"For example the Sony walkman was the first truly portable way of listening to your own music on the move whereas Minidisc, Flash MP3, portable CD players etc. are really just improvements in technology.

",unknown
tinny,Author,The Casio pocket calculator that played a simple game and made tinny noises was also a hot gadget in 1980.,unknown
Gordon Strachan,Author,"Strachan turns down Pompey

Former Southampton manager Gordon Strachan has rejected the chance to become Portsmouth's new boss.

",unknown
Milan Mandaric's,Author,"The Scot was Pompey chairman Milan Mandaric's first choice to replace Harry Redknapp, who left Fratton Park for rivals Saints earlier in December.",unknown
Harry Redknapp,Author,"The Scot was Pompey chairman Milan Mandaric's first choice to replace Harry Redknapp, who left Fratton Park for rivals Saints earlier in December.",unknown
Terry Brady,Musician,Club director Terry Brady held initial talks with Strachan on Saturday.,unknown
Velimir Zajec,Business Executive,"Since Redknapp's departure, executive director Velimir Zajec and coach Joe Jordan have overseen first-team affairs.

",unknown
Joe Jordan,Business Executive,"Since Redknapp's departure, executive director Velimir Zajec and coach Joe Jordan have overseen first-team affairs.

",unknown
Premiership,Author,"The duo had gone five matches unbeaten until Sunday's 1-0 defeat at home to champions Arsenal, but the club are still in a respectable 12th place in the Premiership table.",unknown
St Mary's,Author,"Strachan left St Mary's in February, after earlier announcing his intention to take a break from the game at the end of the 2003-04 season.",unknown
Carlos Saldarriaga,Author,"""The plan includes training on computers and internet skills for both operators and users of the system,"" said Carlos Saldarriaga, technical coordinator at Cepes.",unknown
Saldarriaga,Author,"It is a precious element in Peru's coastal areas, because it is so scarce, and therefore it is necessary to have proper irrigation systems to make the most of it,"" Mr Saldarriaga told the BBC News website.",unknown
Saldarriaga,Author,"""Throughout the last three years, the people have provided a vital thrust to the project; they feel it belongs to them,"" said Mr Saldarriaga.",unknown
Saldarriaga,Author,"""This is a pilot project, and we have been very keen on its cloning potential in other places,"" underlined Mr Saldarriaga.

",unknown
Carlos Saldarriaga,Author,"""It was already dark when the technicians realised they didn't have any light bulbs to test the generator, so they turned up to the local store to buy light bulbs,"" recalls Carlos Saldarriaga.",unknown
Oliver Letwin,Author,Oliver Letwin said the UK could not compete with other countries without the Â£4bn tax cuts he was promising.,unknown
Liam Fox,Author,Tory co-chairman Liam Fox had opened the forum in Brighton with an attack on Labour's record and party leader Michael Howard is due to speak later.,unknown
Michael Howard,Author,Tory co-chairman Liam Fox had opened the forum in Brighton with an attack on Labour's record and party leader Michael Howard is due to speak later.,unknown
Tony Blair,Author,Tony Blair has said Conservative policies would cause economic failure.,unknown
Letwin,Author,"But Mr Letwin said Britain had fallen from fourth to 11th in the international economic competitiveness league.

",unknown
Letwin,Author,"Mr Letwin said voting for Labour meant choosing higher taxes, borrowing and waste.

",unknown
Dr Fox,Author,"Earlier, Dr Fox had said Labour's rule had been characterised by ""lost trust and failure to deliver"".",unknown
Michael Howard,Author,"Michael Howard, who had been due to welcome delegates to the conference on Friday, will address them in a lunchtime speech.",unknown
Howard,Politician,"Mr Howard is likely to defend his party's handling of the bill, which was only passed after the Conservatives accepted Prime Minister Tony Blair's promise that MPs would be able to review it within a year.",unknown
Tony Blair's,Politician,"Mr Howard is likely to defend his party's handling of the bill, which was only passed after the Conservatives accepted Prime Minister Tony Blair's promise that MPs would be able to review it within a year.",unknown
John Brady,Author,"I'm more inclined to think we'll push lower and test the $40-40.25 range,"" said John Brady of ABN AMRO.",unknown
Alex Ferguson,Author,The Brazilian confirmed tempers had flared but could shed no light on reports that food was thrown at United boss Sir Alex Ferguson.,unknown
Jose Antonio Reyes,Author,"But Edu was highly critical of the ferocity of some of United's challenges during the game, particularly on Jose Antonio Reyes.",unknown
Gary Neville,Author,"""Reyes was being kicked all over the park - they were beating up the boy and Gary Neville was tackling in such a way that he should have been sent off.""",unknown
Ruud van Nistelrooy,Author,It also charged Ruud van Nistelrooy with serious foul play while Arsenal boss Arsene Wenger has been asked to explain comments he made about the referee.,unknown
Arsene Wenger,Author,It also charged Ruud van Nistelrooy with serious foul play while Arsenal boss Arsene Wenger has been asked to explain comments he made about the referee.,unknown
Kerstin Dautenhahn,Author,"""We are assuming a situation in which a useful human companion robot already exists,"" said Professor Kerstin Dautenhahn, project leader at Hertfordshire.",unknown
Dautenhahn,Author,"""Without such studies, you will build robots which might not respect the fact that humans are individuals, have preferences and come from different cultural backgrounds,"" Professor Dautenhahn told BBC News Online.",unknown
Dautenhahn,Author,"""If you think of a robot as a companion for the human being, you can think of 20 years into the future,"" concluded Professor Dautenhahn.",unknown
Adam Curry,Musician,Adam Curry.,unknown
Curry,Author,"Using technology based on XML computer code and RSS - Really Simple Syndication - listeners can subscribe to podcasts collected automatically in a bit of software, which Mr Curry has pioneered.",unknown
Curry,Author,"Mr Curry records, hosts, edits and produce a daily, 40 minute podcast called The Daily Source Code.",unknown
Curry,Author,"""

Mr Curry is American, but he grew up in the Netherlands where he hosted illegal, pirate radio shows in the Dutch capital.",unknown
Curry,Author,But Mr Curry's technology and broadcast interests started to gel a couple of years ago when computer storage was growing exponentially and high-speed internet connections were becoming more widely available.,unknown
Curry,Author,"Most importantly, Mr Curry says, people across the globe were bored with the radio they were hearing.",unknown
Curry,Author,"Mr Curry is not a computer programmer, so he asked others to create one for him.",unknown
Doug Kaye,TV Personality,"Doug Kaye, a California-based podcaster, praises the former MTV VJ for what he has done.",unknown
Adam,Author,"""Adam created a simple script that solved what we call the last mile problem.",unknown
Drew Show,TV Personality,"One couple broadcasts theirs, The Dawn and Drew Show, from Wisconsin in the US, sometimes even from the comfort of their own bed.",unknown
Chris McIntyre,Author,Chris McIntyre runs Podcast Alley and says that there are good sites out there but that not everyone has the technological know-how to simply listen.,unknown
McIntyre,Author,"""If I were to tell my mom, or my mother-in-law to copy an XML or RSS file to their podcast aggregator, they would think I was speaking a foreign language,"" Mr McIntyre says.",unknown
Adam Curry's,Author,"For his part, Adam Curry's pressing ahead with his own vision of what podcasting should be.",unknown
Ed Sullivan,TV Personality,"He has even been called the Ed Sullivan or Johnny Carson of podcasting which, he says, ""is a badge I'll wear with great honour.",unknown
Johnny Carson,TV Personality,"He has even been called the Ed Sullivan or Johnny Carson of podcasting which, he says, ""is a badge I'll wear with great honour.",unknown
Johnny Carson,TV Personality,"""To be the Johnny Carson, or Ed Sullivan of anything is wonderful.",unknown
Ed Sullivan,TV Personality,"""To be the Johnny Carson, or Ed Sullivan of anything is wonderful.",unknown
